#------------------------------------------------------------------------------		
#		
# GENERIC WORDS, sorted alphabetically		
#		
#------------------------------------------------------------------------------		
		
action	Action	Aktion
projects.visualization.coverage	Coverage	Berichterstattung
projects.visualization.coverage.description	See missing test coverage's long-term risks to your projects. Bubble size indicates the volume of uncovered lines in the project, and each bubble's vertical position reflects the volume of missing coverage. Small bubbles on the bottom edge are best.	Siehe fehlende Testabdeckung der langfristigen, um Ihre Projekte Risiken. Blasengröße gibt das Volumen der ungedeckten Linien im Projekt, und jede Blase der vertikale Position spiegelt das Volumen der Abdeckung fehlt. Kleine Blasen am unteren Rand sind am besten.
projects.visualization.duplications	Duplications	Vervielfältigungen
projects.visualization.duplications.description	See duplications' long-term risks to your projects. Bubble size indicates the volume of duplicated blocks in the project, and each bubble's vertical position reflects the volume of lines in those blocks. Small bubbles on the bottom edge are best.	Siehe Vervielfältigungen langfristige, um Ihre Projekte Risiken. Blasengröße gibt das Volumen der duplizierten Blöcke im Projekt und jede Blase der vertikale Position zeigt Volumen von Linien in diesen Blöcken. Kleine Blasen am unteren Rand sind am besten.
projects.limited_set_of_projects	Displayed project set limited to the top {0} projects based on current sort: {1}.	Angezeigte Projektarbeit in den oberen begrenzt {0} Projekte basierend auf aktuellen Sortier: {1}.
projects.facets.quality_gate	Quality Gate	Qualität Tor
projects.facets.quality_gate.warning_help	Warning status is deprecated. This filter will disappear when no Warning Quality Gate remains.	Warnstatus ist veraltet. Dieser Filter wird verschwinden, wenn keine Warnung Quality Gate bleibt.
projects.facets.languages	Languages	Sprachen
projects.facets.new_lines	New Lines	neue Linien
projects.facets.tags	Tags	Stichworte
projects.facets.qualifier	Type	Art
projects.sort.disabled	Disabled because sorting cannot affect the displayed result with the current project selection.	Deaktiviert, da das Sortieren nicht das angezeigte Ergebnis mit der aktuellen Projektauswahl beeinflussen.
projects.sort.analysis_date	by last analysis date (oldest first)	durch letztes Analysedatum (älteste zuerst)
projects.sort.-analysis_date	by last analysis date (latest first)	Nach letztem Analyse Datum (neueste zuerst)
projects.sort.name	by name	namentlich
projects.sort.-name	by name	namentlich
projects.sort.reliability	by reliability (best first)	durch die Zuverlässigkeit (beste zuerst)
projects.sort.-reliability	by reliability (worst first)	durch die Zuverlässigkeit (worst zuerst)
projects.sort.security	by security (best first)	von Sicherheit (beste zuerst)
projects.sort.-security	by security (worst first)	von Sicherheit (schlechteste zuerst)
projects.sort.maintainability	by maintainability (best first)	von Wartbarkeit (beste zuerst)
projects.sort.-maintainability	by maintainability (worst first)	von Wartbarkeit (worst zuerst)
projects.sort.coverage	by coverage (best first)	durch Abdeckung (beste zuerst)
projects.sort.-coverage	by coverage (worst first)	durch Abdeckung (worst zuerst)
projects.sort.duplications	by duplications (best first)	von Vervielfältigungen (beste zuerst)
projects.sort.-duplications	by duplications (worst first)	von Vervielfältigungen (worst zuerst)
projects.sort.size	by size (smallest first)	nach Größe (kleinste zuerst)
projects.sort.-size	by size (biggest first)	nach Größe (größte zuerst)
		
projects.security_hotspots_reviewed	Hotspots Reviewed	Hotspots Bewertet
		
#------------------------------------------------------------------------------		
#		
# DASHBOARD		
#		
#------------------------------------------------------------------------------		
		
dashboard.project_not_found	The requested project does not exist.	Das angeforderte Projekt existiert nicht.
dashboard.project_not_found.2	Either it has never been analyzed successfully or it has been deleted.	Entweder es wurde nie erfolgreich analysiert oder es wird gelöscht.
		
		
#------------------------------------------------------------------------------		
#		
# SETTINGS		
#		
#------------------------------------------------------------------------------		
settings.key_x	Key: {0}	Key: {0}
settings.default_x	Default: {0}	Standard: {0}
settings.not_set	(not set)	(nicht eingestellt)
settings.state.saving	Saving...	Speichern ...
settings.state.saved	Saved!	Gerettet!
settings.state.validation_failed	Validation failed. {0}	Überprüfung fehlgeschlagen. {0}
settings.state.value_cant_be_empty	Provide a value or use "Reset" to set the value to the default one.	Geben Sie einen Wert oder Verwendung „Reset“ den Wert auf den Standardwert ein setzen.
settings.state.value_cant_be_empty_no_default	Provide a value.	Geben Sie einen Wert.
settings._default	(default)	(Standard)
settings.boolean.true	TRUE	WAHR
settings.boolean.false	FALSE	FALSCH
settings.default.no_value	<no value>	<No value>
settings.default.complex_value	<complex value>	<Komplexer Wert>
settings.default.password	<password>	<Kennwort>
settings.reset_confirm.title	Reset Setting	Einstellung zurücksetzen
settings.reset_confirm.description	Are you sure that you want to reset this setting?	Sind Sie sicher, dass Sie diese Einstellung zurücksetzen?
		
settings.json.format	Format JSON	Format JSON
settings.json.format_error	Formatting requires valid JSON. Please fix it and retry.	Formatierung erfordert gültige JSON. Bitte korrigieren Sie es und versuchen Sie es erneut.
		
settings.analysis_scope.wildcards.introduction	You can use the following wildcards.	Sie können die folgenden Platzhalter verwenden.
settings.analysis_scope.wildcards.zero_more_char	Match zero or more characters	Wer passt zu null oder mehr Zeichen
settings.analysis_scope.wildcards.zero_more_dir	Match zero or more directories	Wer passt zu Null oder mehrere Verzeichnisse
settings.analysis_scope.wildcards.single_char	Match a single character	Wer passt ein einzelnes Zeichen
		
settings.new_code_period.category	New Code	Neuer Code
settings.new_code_period.title	Default New Code behavior	Standard Neuer Code Verhalten
settings.new_code_period.description	The New Code definition is used to compare measures and track new issues. {link}	Die neue Code-Definition wird benutzt Maßnahmen zu vergleichen und neue Themen zu verfolgen. {Verknüpfung}
settings.new_code_period.description2	This setting is the default for all projects. A specific New Code definition can be configured at project level.	Diese Einstellung ist die Standardeinstellung für alle Projekte. Eine spezifische Neuer Code-Definition kann auf Projektebene konfiguriert werden.
		
settings.languages.select_a_language_placeholder	Select a language	Wähle eine Sprache
		
settings.projects.default_visibility_of_new_projects	Default visibility of new projects:	Standard Sichtbarkeit von neuen Projekten:
settings.projects.change_visibility_form.header	Set Default Visibility of New Projects	Set Default Visibility neuer Projekte
settings.projects.change_visibility_form.warning	This will not change the visibility of already existing projects.	Dies wird nicht die Sichtbarkeit der bereits bestehende Projekte ändern.
settings.projects.change_visibility_form.submit	Change Default Visibility	Standard ändern Sichtbarkeit
		
settings.almintegration.title	Integration configurations	Integration Konfigurationen
settings.almintegration.description	ALM integrations allow SonarQube to interact with your ALM. This enables things like authentication, or providing analysis details and a Quality Gate to your Pull Requests directly in your ALM provider's interface.	ALM-Integrationen ermöglichen Sonarqube mit ALM zu interagieren. Dies ermöglicht Dinge wie Authentifizierung oder Analyse Einzelheiten zu nennen und ein Quality Gate zu Ihrem Pull Requests direkt in Ihrem ALM-Anbieter-Schnittstelle.
settings.almintegration.azure.info	Accounts that will be used to decorate Pull Requests need Code: Read & Write permission. {link}	Konten, die zu deco Pull Requests benötigen-Code verwendet werden: Read & Write Berechtigung. {Verknüpfung}
settings.almintegration.github.info	You need to install a GitHub App with specific settings and permissions to enable Pull Request Decoration on your Organization or Repository. {link}	Sie benötigen einen GitHub App mit bestimmten Einstellungen und Berechtigungen installieren Pull-Request-Dekoration auf Ihrer Organisation oder Repository zu ermöglichen. {Verknüpfung}
settings.almintegration.gitlab.info	Accounts that will be used to decorate Merge Requests need comment permissions on projects. The personal key needs the API scope permission. {link}	Konten, die Merge Requests müssen Kommentar Berechtigungen für Projekte dekorieren verwendet wird. Der persönliche Schlüssel muss die API Umfang Erlaubnis. {Verknüpfung}
settings.almintegration.bitbucket.help_1	SonarQube needs a Personal Access Token to communicate with Bitbucket Server. This token will be used to decorate Pull Requests.	Sonarqube braucht eine Personal Access Token mit Bitbucket Server zu kommunizieren. Dieses Token wird verwendet Pull Requests zu dekorieren.
settings.almintegration.bitbucket.help_2	The account used for integration needs write permission.	Das verwendete Konto für die Integration benötigt Schreibberechtigung.
settings.almintegration.bitbucket.help_3	We recommend to integrate with SonarQube using a Bitbucket Server Service Account.	Wir empfehlen die Integration mit Sonarqube ein Bitbucket Server-Dienstkonto verwenden.
settings.almintegration.bitbucketcloud.info	You need to create an OAuth consumer in your Bitbucket Cloud workspace settings to decorate your Pull Requests. It needs to be a private consumer with Pull requests: Read permission. Bitbucket requires an OAuth callback URL, but it's not used by SonarQube so any URL works. {link}	Sie benötigen einen OAuth Verbraucher in Ihren Bitbucket Cloud-Arbeitsplatz-Einstellungen erstellen Sie Ihre Pull Requests zu dekorieren. Es muss ein privater Verbraucher mit Pull-Anfragen sein: Leseberechtigung. Bitbucket erfordert eine OAuth-Rückruf-URL, aber es ist nicht von Sonarqube so jegliche URL Werke verwendet. {Verknüpfung}
settings.almintegration.empty.azure	Create your first Azure DevOps configuration to start analyzing your repositories on SonarQube.	Erstellen Sie Ihre erste Azure DevOps Konfiguration zu starten Ihre Repositories auf Sonarqube analysieren.
settings.almintegration.empty.bitbucket	Create your first Bitbucket configuration to start analyzing your repositories on SonarQube.	Erstellen Sie Ihre erste Bitbucket Konfiguration zu starten Ihre Repositories auf Sonarqube analysieren.
settings.almintegration.empty.bitbucketcloud	Create your first Bitbucket Cloud configuration to start analyzing your repositories on SonarQube.	Erstellen Sie Ihre erste Bitbucket Cloud-Konfiguration zu starten Ihre Repositories auf Sonarqube analysieren.
settings.almintegration.empty.github	Create your first GitHub configuration to start analyzing your repositories on SonarQube.	Erstellen Sie Ihre erste GitHub Konfiguration zu starten Ihre Repositories auf Sonarqube analysieren.
settings.almintegration.empty.gitlab	Create your first GitLab configuration to start analyzing your repositories on SonarQube.	Erstellen Sie Ihre erste Gitlab Konfiguration zu starten Ihre Repositories auf Sonarqube analysieren.
settings.almintegration.create	Create configuration	Konfiguration erstellen
settings.almintegration.create.tooltip	Upgrade to {link} to integrate with multiple {alm} instances.	Aktualisieren Sie auf {link} mit mehreren {alm} Instanzen zu integrieren.
settings.almintegration.create.tooltip.link	Enterprise Edition	Enterprise Edition
settings.almintegration.check_configuration	Check configuration	Konfiguration prüfen
settings.almintegration.checking_configuration	Checking configuration	Überprüfen Konfiguration
settings.almintegration.configuration_valid	Configuration valid	Konfiguration gültig
settings.almintegration.could_not_validate	Could not validate this configuration.	Könnte diese Konfiguration nicht bestätigen.
settings.almintegration.delete.header	Delete configuration	Konfiguration löschen
settings.almintegration.delete.message	Are you sure you want to delete the {id} configuration?	Sind Sie sicher, dass Sie die {id} Konfiguration löschen?
settings.almintegration.delete.info	{0} projects will no longer get Pull Request Decorations.	{0} Projekte werden nicht mehr Pull-Request-Dekorationen erhalten.
settings.almintegration.delete.no_info	An unknown number of projects will no longer get Pull Request Decorations.	Eine unbekannte Anzahl von Projekten nicht mehr Pull-Request-Dekorationen erhalten.
settings.almintegration.form.header.create	Create a configuration	Erstellen Sie eine Konfiguration
settings.almintegration.form.header.edit	Edit the configuration	Bearbeiten Sie die Konfigurations
settings.almintegration.form.second_instance_warning	Binding more than one instance of an ALM will deactivate the import of repositories from that ALM.	Die Bindung mehr als eine Instanz einer ALM wird den Import von Endlagern von dieser ALM deaktivieren.
settings.almintegration.form.name.azure	Configuration name	Konfigurationsname
settings.almintegration.form.name.azure.help	Give your configuration a clear and succinct name. This name will be used at project level to identify the correct configured Azure instance for a project.	Geben Sie Ihre Konfiguration einen klaren und prägnanten Namen. Dieser Name wird auf Projektebene verwendet werden, um die richtige konfigurierte Azure-Instanz für ein Projekt zu identifizieren.
settings.almintegration.form.choose_bitbucket_variant	Select which variant you want to configure	Wählen Sie, welche Variante Sie konfigurieren möchten
settings.almintegration.form.name.bitbucket	Configuration name	Konfigurationsname
settings.almintegration.form.name.bitbucket.help	Give your configuration a clear and succinct name. This name will be used at project level to identify the correct configured Bitbucket instance for a project.	Geben Sie Ihre Konfiguration einen klaren und prägnanten Namen. Dieser Name wird auf Projektebene verwendet werden, um das richtige konfigurierte Bitbucket Beispiel für ein Projekt zu identifizieren.
settings.almintegration.form.name.bitbucketcloud	Configuration name	Konfigurationsname
settings.almintegration.form.name.bitbucketcloud.help	Give your configuration a clear and succinct name. This name will be used at project level to identify the correct configured Bitbucket Cloud instance for a project.	Geben Sie Ihre Konfiguration einen klaren und prägnanten Namen. Dieser Name wird auf Projektebene verwendet werden, um die richtige konfigurierte Bitbucket Cloud-Instanz für ein Projekt zu identifizieren.
settings.almintegration.form.name.github	Configuration name	Konfigurationsname
settings.almintegration.form.name.github.help	Give your configuration a clear and succinct name. This name will be used at project level to identify the correct configured GitHub App for a project.	Geben Sie Ihre Konfiguration einen klaren und prägnanten Namen. Dieser Name wird auf Projektebene verwendet werden, um den richtigen konfigurierte GitHub App für ein Projekt zu identifizieren.
settings.almintegration.form.name.gitlab	Configuration name	Konfigurationsname
settings.almintegration.form.name.gitlab.help	Give your configuration a clear and succinct name. This name will be used at project level to identify the correct configured GitLab instance for a project.	Geben Sie Ihre Konfiguration einen klaren und prägnanten Namen. Dieser Name wird auf Projektebene verwendet werden, um das richtige konfigurierte Gitlab Beispiel für ein Projekt zu identifizieren.
settings.almintegration.form.workspace.bitbucketcloud	Workspace ID	Workspace ID
settings.almintegration.form.workspace.bitbucketcloud.help	The Workspace ID	Der Arbeitsbereich ID
settings.almintegration.form.url.azure	Azure DevOps URL	Azure DevOps URL
settings.almintegration.form.url.azure.help1	For Azure DevOps Server, provide the full collection URL:	Für Azure DevOps Server bieten die vollständige Sammlung URL:
settings.almintegration.form.url.azure.help2	For Azure DevOps Services, provide the full organization URL:	Für Azure DevOps Services bieten die vollständige Organisation URL:
settings.almintegration.form.url.bitbucket	Bitbucket Server URL	Bitbucket Server-URL
settings.almintegration.form.url.bitbucket.help	Example: {example}	Beispiel: {example}
settings.almintegration.form.url.github	GitHub API URL	GitHub API URL
settings.almintegration.form.url.github.help1	Example for Github Enterprise:	Beispiel für Github Unternehmen:
settings.almintegration.form.url.github.help2	If using GitHub.com:	Bei der Verwendung von GitHub.com:
settings.almintegration.form.url.gitlab	GitLab API URL	Gitlab API URL
settings.almintegration.form.url.gitlab.help	Provide the GitLab API URL. For example:	Geben Sie die Gitlab API-URL. Beispielsweise:
settings.almintegration.form.app_id	GitHub App ID	GitHub App-ID
settings.almintegration.form.client_id.github	Client ID	Kunden ID
settings.almintegration.form.client_secret.github	Client Secret	Client-Geheimnis
settings.almintegration.form.client_id.bitbucketcloud	OAuth Key	OAuth Key
settings.almintegration.form.client_secret.bitbucketcloud	OAuth Secret	OAuth Geheimnis
settings.almintegration.form.private_key	Private Key	Privat Schlüssel
settings.almintegration.form.personal_access_token	Personal Access token	Personal Access Token
settings.almintegration.form.personal_access_token.azure.help	Token of the user that will be used to decorate the Pull Requests. Needs authorized scope: "Code (read and write)".	Token des Benutzers, der verwendet wird, um den Pull Requests zu dekorieren. Bedürfnisse autorisierten Umfang: „Code (lesen und schreiben)“.
settings.almintegration.form.personal_access_token.gitlab.help	Token of the user that will be used to decorate the Merge Requests. Needs API scope authorization.	Token des Benutzers, der verwendet wird, um die Merge Requests zu dekorieren. Benötigt API Umfang Genehmigung.
settings.almintegration.form.save	Save configuration	Konfiguration speichern
settings.almintegration.form.cancel	Cancel	Stornieren
settings.almintegration.form.secret_field	This field is hidden for security reasons.	Dieses Feld wird aus Sicherheitsgründen verborgen.
settings.almintegration.form.update_secret_field	Update field value	Update Feldwert
settings.almintegration.feature.pr_decoration.title	Pull Request Decoration	Pull-Request-Dekoration
settings.almintegration.feature.pr_decoration.description	Add analysis and a Quality Gate to your Pull Requests directly in your ALM provider's interface.	In Analyse und Quality Gate zu Ihrem Pull Requests direkt in Ihrem ALM-Anbieter-Schnittstelle.
settings.almintegration.feature.mr_decoration.title	Merge Request Decoration	Merge anfordern Dekoration
settings.almintegration.feature.mr_decoration.description	Add analysis and a Quality Gate to your Merge Requests directly in your ALM provider's interface.	In Analyse und Quality Gate auf Ihre Merge Requests direkt in Ihrem ALM-Anbieter-Schnittstelle.
settings.almintegration.feature.pr_decoration.disabled	Disabled	Deaktiviert
settings.almintegration.feature.pr_decoration.disabled.no_branches	Upgrade to {link} to enable this feature.	Aktualisieren Sie auf {link} diese Funktion zu aktivieren.
settings.almintegration.feature.pr_decoration.disabled.no_branches.link	Developer Edition	Entwickler-Ausgabe
settings.almintegration.feature.alm_repo_import.title	Import repositories from your ALM	Import-Repositories von Ihrer ALM
settings.almintegration.feature.alm_repo_import.description	Select repositories from your ALM, and import them into SonarQube.	Wählen Sie Repositories aus Ihrer ALM, und importieren Sie sie in Sonarqube.
settings.almintegration.feature.alm_repo_import.disabled	Disabled	Deaktiviert
settings.almintegration.feature.alm_repo_import.disabled.multiple	This feature is disabled because you have 2 or more integration instances configured.	Diese Funktion ist deaktiviert, da Sie haben 2 oder mehr Integration Instanzen konfiguriert.
settings.almintegration.feature.alm_repo_import.disabled.no_url	This feature is disabled because your configured instance has no URL.	Diese Funktion ist deaktiviert, da Ihre konfigurierte Instanz keine URL hat.
		
settings.pr_decoration.binding.category	Pull Request Decoration	Pull-Request-Dekoration
settings.pr_decoration.binding.no_bindings	This feature must first be enabled in the global settings. {link}	Diese Funktion muss zuerst in den globalen Einstellungen aktiviert werden. {Verknüpfung}
settings.pr_decoration.binding.title	Pull Request Decoration	Pull-Request-Dekoration
settings.pr_decoration.binding.description	Enable Pull Request Decoration for this project.	Aktivieren Sie Pull-Request-Dekoration für dieses Projekt.
settings.pr_decoration.binding.form.url	Project location	Projektstandort
settings.pr_decoration.binding.form.name	Configuration name	Konfigurationsname
settings.pr_decoration.binding.form.monorepo	Enable mono repository support	Aktivieren Mono-Repository Unterstützung
settings.pr_decoration.binding.form.monorepo.help	Enable this setting if your project is part of a mono repository. {doc_link}	Aktivieren Sie diese Einstellung, wenn Ihr Projekt Teil einer Mono-Repository ist. {Doc_link}
settings.pr_decoration.binding.form.monorepo.warning	This setting must be enabled for all SonarQube projects that are part of a mono repository.	Diese Einstellung muss für alle Sonarqube Projekte freigegeben werden, das Teil eines Mono-Repository sind.
settings.pr_decoration.binding.form.azure.project	Project Name	Projektname
settings.pr_decoration.binding.form.azure.project.help	The name of the Azure DevOps project containing your repository.	Der Name des Azure DevOps Projekt mit Ihrem Repository.
settings.pr_decoration.binding.form.azure.repository	Repository Name	Repository-Name
settings.pr_decoration.binding.form.azure.repository.help	The name of your Azure DevOps repository.	Der Name Ihres Azure DevOps-Repository.
settings.pr_decoration.binding.form.github.repository	Repository identifier	Repository-Kennung
settings.pr_decoration.binding.form.github.repository.help	The path of your repository URL. Example: {example}	Der Pfad der Repository-URL. Beispiel: {example}
settings.pr_decoration.binding.form.github.summary_comment_setting	Enable analysis summary under the GitHub Conversation tab	Aktivieren Analyse Zusammenfassung unter der Registerkarte GitHub Conversation
settings.pr_decoration.binding.form.github.summary_comment_setting.help	When enabled, a summary is displayed under the GitHub Conversation tab. Notifications may be sent by GitHub depending on your settings.	Wenn diese Option aktiviert, wird eine Zusammenfassung unter dem GitHub Conversation Registerkarte angezeigt. Benachrichtigungen können von GitHub je nach Ihren Einstellungen gesendet werden.
settings.pr_decoration.binding.form.bitbucket.repository	Project Key	Projekt Key
settings.pr_decoration.binding.form.bitbucket.repository.help	The project key is part of your Bitbucket Server repository URL. Example: ({example})	Das Projekt Schlüssel ist Teil Ihrer Bitbucket Server-Repository-URL. Beispiel: ({} Beispiel)
settings.pr_decoration.binding.form.bitbucket.slug	Repository SLUG	Repository SLUG
settings.pr_decoration.binding.form.bitbucket.slug.help	The Repository Slug is part of your Bitbucket Server repository URL. Example: ({example})	Das Repository Slug ist Teil Ihrer Bitbucket Server-Repository-URL. Beispiel: ({} Beispiel)
settings.pr_decoration.binding.form.bitbucketcloud.repository	Repository SLUG	Repository SLUG
settings.pr_decoration.binding.form.bitbucketcloud.repository.help	The Repository SLUG is part of your Bitbucket Cloud URL. Example: {example}	Das Repository SLUG ist Teil Ihrer Bitbucket Cloud-URL. Beispiel: {example}
		
settings.pr_decoration.binding.form.gitlab.repository	Project ID	Projekt-ID
		
property.category.general	General	Allgemeines
property.category.general.email	Email	Email
property.category.general.duplications	Duplications	Vervielfältigungen
property.category.general.differentialViews	New Code	Neuer Code
property.category.general.localization	Localization	Lokalisierung
property.category.general.databaseCleaner	Database Cleaner	Datenbank-Reiniger
property.category.general.looknfeel	Look & Feel	Sehen und fühlen
property.category.general.issues	Issues	Probleme
property.category.general.qualityGate	Quality Gate	Qualität Tor
property.category.general.subProjects	Sub-projects	Teilprojekte
property.category.almintegration	ALM Integrations	ALM Integrationen
property.category.almintegration.github	GitHub Authentication	GitHub-Authentifizierung
property.category.almintegration.github.description	In order to enable authentication on GitHub.com or GitHub Enterprise:<ul><li>SonarQube must be publicly accessible through HTTPS only</li><li>The property 'sonar.core.serverBaseURL' must be set to this public HTTPS URL</li><li>In your GitHub profile, you need to create a Developer Application for which the 'Authorization callback URL' must be set to <code>'&lt;value_of_sonar.core.serverBaseURL_property&gt;/oauth2/callback'</code>.</li></ul>	Um die Authentifizierung auf GitHub.com oder GitHub Unternehmen zu aktivieren: <ul> <li> Sonarqube muss über HTTPS nur öffentlich zugänglich sein </ li> <li> Die Eigenschaft ‚sonar.core.serverBaseURL‘ muss auf diese öffentliche eingestellt werden HTTPS URL </ li> <li> In Ihrem GitHub Profil, müssen Sie für die eine Entwickler-Anwendung erstellen 'Callback-URL Authorization' die auf <code> gesetzt werden muss '& lt; value_of_sonar.core.serverBaseURL_property & gt; / oauth2 / Rückruf' < / code>. </ li> </ ul>
property.category.almintegration.gitlab	GitLab Authentication	Gitlab Authentifizierung
property.category.almintegration.gitlab.description	In order to enable GitLab authentication, the property 'sonar.core.serverBaseURL' must be set to the public URL	Um Gitlab Authentifizierung, die Eigenschaft ‚sonar.core.serverBaseURL‘ zu ermöglichen, müssen der Öffentlichkeit URL eingestellt werden
property.category.organizations	Organizations	Organisationen
property.category.security	Security	Sicherheit
property.category.security.encryption	Encryption	Verschlüsselung
property.category.security.saml	SAML	SAML
property.category.security.saml.description	In order to enable SAML authentication, the property 'sonar.core.serverBaseURL' must be set to the public URL	Um SAML-Authentifizierung, die Eigenschaft ‚sonar.core.serverBaseURL‘ zu ermöglichen, müssen der Öffentlichkeit URL eingestellt werden
property.category.java	Java	Java
property.category.differentialViews	New Code	Neuer Code
property.category.codeCoverage	Code Coverage	Code Coverage
property.category.duplications	Duplications	Vervielfältigungen
property.category.localization	Localization	Lokalisierung
property.category.exclusions	Analysis Scope	Scope-Analyse
property.category.webhooks	Webhooks	Webhooks
property.category.languages	Languages	Sprachen
property.sonar.inclusions.name	Source File Inclusions	Source File Einbeziehungen
property.sonar.inclusions.description	Patterns used to include some source files and only these ones in analysis.	Muster verwendet, um einige Quelldateien enthalten und nur diese hier in der Analyse.
property.sonar.test.inclusions.name	Test File Inclusions	Testdatei Einbeziehungen
property.sonar.test.inclusions.description	Patterns used to include some test files and only these ones in analysis.	Muster verwendet, um einige Testdateien enthalten und nur diese hier in der Analyse.
property.sonar.exclusions.name	Source File Exclusions	Quelldatei Ausschlüsse
property.sonar.exclusions.description	Patterns used to exclude some source files from analysis.	Muster verwendet, um einige Quelldateien von der Analyse auszuschließen.
property.sonar.test.exclusions.name	Test File Exclusions	Testdatei Ausschlüsse
property.sonar.test.exclusions.description	Patterns used to exclude some test files from analysis.	Muster verwendet, um einige Testdateien von der Analyse auszuschließen.
property.sonar.global.exclusions.name	Global Source File Exclusions	Global Source Datei-Ausschlüsse
property.sonar.global.exclusions.description	Patterns used to exclude some source files from analysis. They apply to every project and cannot be overridden.	Muster verwendet, um einige Quelldateien von der Analyse auszuschließen. Sie gelten für jedes Projekt und kann nicht außer Kraft gesetzt werden.
property.sonar.global.test.exclusions.name	Global Test File Exclusions	Globale Testdatei Ausschlüsse
property.sonar.global.test.exclusions.description	Patterns used to exclude some test files from analysis. They apply to every project and cannot be overridden.	Muster verwendet, um einige Testdateien von der Analyse auszuschließen. Sie gelten für jedes Projekt und kann nicht außer Kraft gesetzt werden.
property.category.exclusions.files	Files	Dateien
property.category.exclusions.files.description	Configure the files that should be completely ignored by the analysis.	Konfigurieren Sie die Dateien, die durch die Analyse vollständig ignoriert werden sollte.
property.sonar.skippedModules.name	Module Exclusions	Modul Ausschlüsse
property.sonar.skippedModules.description	This property is deprecated since version 4.3 and should not be used anymore.	Diese Eigenschaft ist seit Version 4.3 als veraltet und sollte nicht mehr verwendet werden.
property.sonar.includedModules.name	Module Inclusions	Modul Einbeziehungen
property.sonar.includedModules.description	This property is deprecated since version 4.3 and should not be used anymore.	Diese Eigenschaft ist seit Version 4.3 als veraltet und sollte nicht mehr verwendet werden.
property.category.exclusions.issues	Issues	Probleme
property.category.exclusions.issues.description	Configure the conditions under which issues should not be reported.	Konfigurieren Sie die Bedingungen, unter denen Probleme sollten nicht gemeldet werden.
property.category.exclusions.duplications	Duplications	Vervielfältigungen
property.category.exclusions.duplications.description	Configure the files that should be ignored by duplication detection.	Konfigurieren Sie die Dateien, die durch Duplikation Erkennung ignoriert werden sollte.
property.category.exclusions.coverage	Code Coverage	Code Coverage
property.category.exclusions.coverage.description	Configure the files that should be ignored by code coverage calculations.	Konfigurieren Sie die Dateien, die von Code-Coverage-Berechnungen ignoriert werden sollte.
property.sonar.coverage.exclusions.name	Coverage Exclusions	Coverage Ausschlüsse
property.sonar.coverage.exclusions.description	Patterns used to exclude some files from coverage report.	Muster verwendet, um einige Dateien von der Deckung Bericht auszuschließen.
property.category.technicalDebt	Technical Debt	Technische Schulden
property.error.notBoolean	Valid options are "true" and "false"	Gültige Optionen sind „wahr“ und „falsch“
property.error.notInteger	Only digits are allowed	Nur Ziffern sind erlaubt
property.error.notFloat	Not a floating point number	Nicht eine Gleitkommazahl
property.error.notRegexp	Regular expression must be valid	Regulärer Ausdruck muss gültig sein
property.error.notInOptions	Not a valid option	Keine gültige Option
property.category.scm	SCM	SCM
property.category.housekeeping	Housekeeping	Haushalt
property.category.housekeeping.general	General	Allgemeines
property.category.housekeeping.branchesAndPullRequests	Branches and Pull Requests	Zweige und Pull Requests
		
		
#------------------------------------------------------------------------------		
#		
# SEARCH ENGINE FOR RESOURCES		
#		
#------------------------------------------------------------------------------		
search.shortcut_hint	Hint: Press {shortcut} from anywhere to open this search bar.	Hinweis: Drücken Sie {} Abkürzung von überall diese Suchleiste zu öffnen.
search.show_more.hint	Press {key} to display	Drücken Sie {key} zu Anzeige
search.placeholder	Search for projects...	Suche nach Projekten ...
search.search_for_projects	Search for projects...	Suche nach Projekten ...
search.search_for_members	Search for members...	Suche nach Mitgliedern ...
search.search_for_users	Search for users...	Suchen Sie nach Benutzern ...
search.search_for_users_or_groups	Search for users or groups...	Suchen Sie nach Benutzern oder Gruppen ...
search.search_by_login_or_name	Search by login or name...	Suche nach Anmeldung oder Namen ...
search.search_by_name	Search by name...	Suche mit Name...
search.search_by_name_or_key	Search by name or key...	Suche nach Namen oder Schlüssel ...
search.search_for_tags	Search for tags...	Suche nach Tags ...
search.search_for_repositories	Search for repositories...	Suche nach Repositories ...
search.search_for_rules	Search for rules...	Suche nach Regeln ...
search.search_for_languages	Search for languages...	Suche nach Sprachen ...
search.search_for_cwe	Search for CWEs...	Suche nach CWEs ...
search.search_for_authors	Search for authors...	Suche nach Autoren ...
search.search_for_directories	Search for directories...	Suchen Sie nach Verzeichnissen ...
search.search_for_files	Search for files...	Suche nach Dateien ...
search.search_for_modules	Search for modules...	Suche nach Modulen ...
search.search_for_metrics	Search for metrics...	Suche nach Metriken ...
		
		
#------------------------------------------------------------------------------		
#		
# GLOBAL HELP		
#		
#------------------------------------------------------------------------------		
help.section.links	Links	Links
help.section.shortcuts	Shortcuts	Shortcuts
help.section.tutorials	Tutorials	Tutorials
		
shortcuts.section.global	Global	weltweit
shortcuts.section.global.search	quickly open search bar	schnell zu öffnen Suchleiste
shortcuts.section.global.shortcuts	open this window	Öffnen Sie dieses Fenster
shortcuts.section.global.facets.multiselection	Ctrl + click to add to selection	Ctrl + Klick auf die Auswahl hinzufügen
shortcuts.section.global.facets.multiselection.mac	\u2318 + click to add to selection	\ U2318 + Klick auf die Auswahl hinzufügen
		
